Secuencia	Es_conotoxina	Score
FASTA_712	True	0.229286
FASTA_713	False	0.053664
FASTA_714	False	0.152716
FASTA_715	False	0.160643
FASTA_716	False	0.059734
FASTA_717	False	0.112979
FASTA_718	False	0.112979
FASTA_719	False	0.071009
FASTA_720	False	0.051951
FASTA_721	False	0.136306
FASTA_722	False	0.166887
FASTA_723	False	0.117727
FASTA_724	False	0.161899
FASTA_725	False	0.162236
FASTA_726	False	0.064730
FASTA_727	True	0.226867
FASTA_728	False	0.042782
FASTA_729	False	0.142113
FASTA_730	False	0.116472
FASTA_731	False	0.081075
FASTA_732	True	0.216795
FASTA_733	False	0.088641
FASTA_734	False	0.142691
FASTA_735	False	0.068743
FASTA_736	False	0.103482
FASTA_737	False	0.093624
FASTA_738	True	0.190242
FASTA_739	False	0.150417
FASTA_740	False	0.053986
FASTA_741	False	0.156770
FASTA_742	True	0.201201
FASTA_743	True	0.180746
FASTA_744	False	0.055275
FASTA_745	False	0.168813
FASTA_746	True	0.181318
FASTA_747	False	0.057234
FASTA_748	False	0.035979
FASTA_749	False	0.089180
FASTA_750	False	0.087597
FASTA_751	False	0.041427
FASTA_752	False	0.042259
FASTA_753	False	0.135035
FASTA_754	False	0.118896
FASTA_755	False	0.171067
FASTA_756	False	0.113515
FASTA_757	False	0.165840
FASTA_758	True	0.175522
FASTA_759	False	0.136494
FASTA_760	False	0.125598
FASTA_761	False	0.149458
FASTA_762	False	0.071468
FASTA_763	False	0.114497
FASTA_764	False	0.100871
FASTA_765	True	0.291257
FASTA_766	False	0.047364
FASTA_767	False	0.152497
FASTA_768	False	0.060725
FASTA_769	False	0.130880
FASTA_770	False	0.064705
FASTA_771	True	0.175595
FASTA_772	False	0.126710
FASTA_773	False	0.087052
FASTA_774	False	0.036469
FASTA_775	True	0.237870
FASTA_776	False	0.151512
FASTA_777	False	0.059923
FASTA_778	False	0.102403
FASTA_779	False	0.084413
FASTA_780	False	0.129633
FASTA_781	False	0.053232
FASTA_782	False	0.156393
FASTA_783	False	0.067723
FASTA_784	False	0.094759
FASTA_785	False	0.094759
FASTA_786	True	0.210497
FASTA_787	False	0.087536
FASTA_788	False	0.077737
FASTA_789	True	0.173623
FASTA_790	True	0.182977
FASTA_791	False	0.110586
FASTA_792	False	0.148988
FASTA_793	False	0.103396
FASTA_794	False	0.136383
FASTA_795	False	0.158174
FASTA_796	False	0.122227
FASTA_797	False	0.109690
FASTA_798	False	0.042157
FASTA_799	True	0.197279
FASTA_800	False	0.084387
FASTA_801	False	0.120127
FASTA_802	False	0.132744
FASTA_803	False	0.078137
FASTA_804	False	0.068786
FASTA_805	False	0.036788
FASTA_806	False	0.044997
FASTA_807	False	0.063311
FASTA_808	True	0.186307
FASTA_809	False	0.081943
FASTA_810	True	0.196950
FASTA_811	False	0.153024
FASTA_812	False	0.110499
FASTA_813	False	0.043685
FASTA_814	False	0.085155
FASTA_815	True	0.237503
FASTA_816	False	0.113096
FASTA_817	False	0.058146
FASTA_818	False	0.148964
FASTA_819	False	0.037097
FASTA_820	False	0.131074
FASTA_821	False	0.088703
FASTA_822	False	0.152221
FASTA_823	False	0.136912
FASTA_824	False	0.148698
FASTA_825	False	0.113571
FASTA_826	False	0.147720
FASTA_827	False	0.092404
FASTA_828	False	0.104035
FASTA_829	False	0.068786
FASTA_830	False	0.143972
FASTA_831	True	0.196581
FASTA_832	True	0.177624
FASTA_833	True	0.196581
FASTA_834	False	0.102576
FASTA_835	False	0.102576
FASTA_836	True	0.218426
FASTA_837	False	0.126995
FASTA_838	False	0.149089
FASTA_839	False	0.104390
FASTA_840	True	0.214737
FASTA_841	False	0.144046
FASTA_842	False	0.116556
FASTA_843	False	0.163050
FASTA_844	False	0.086828
FASTA_845	False	0.152757
FASTA_846	True	0.225342
FASTA_847	True	0.183683
FASTA_848	False	0.125598
FASTA_849	False	0.050893
FASTA_850	False	0.103555
FASTA_851	False	0.082394
FASTA_852	True	0.225986
FASTA_853	False	0.166795
FASTA_854	False	0.167318
FASTA_855	False	0.067581
FASTA_856	False	0.167201
FASTA_857	True	0.175968
FASTA_858	False	0.112496
FASTA_859	False	0.149469
FASTA_860	False	0.090424
FASTA_861	True	0.224030
FASTA_862	False	0.079019
FASTA_863	True	0.278943
FASTA_864	True	0.228806
FASTA_865	True	0.186658
FASTA_866	True	0.278975
FASTA_867	False	0.159841
FASTA_868	False	0.144313
FASTA_869	False	0.106855
FASTA_870	True	0.187459
FASTA_871	True	0.175222
FASTA_872	False	0.115503
FASTA_873	True	0.200603
FASTA_874	False	0.063097
FASTA_875	False	0.114265
FASTA_876	False	0.088293
FASTA_877	True	0.272633
FASTA_878	False	0.108710
FASTA_879	False	0.130753
FASTA_880	False	0.133353
FASTA_881	True	0.177140
FASTA_882	False	0.134987
FASTA_883	False	0.078133
FASTA_884	False	0.085853
FASTA_885	True	0.176380
FASTA_886	True	0.187594
FASTA_887	False	0.132398
FASTA_888	False	0.162370
FASTA_889	True	0.294040
FASTA_890	True	0.232971
FASTA_891	True	0.191407
FASTA_892	True	0.183171
FASTA_893	False	0.124520
FASTA_894	False	0.102688
FASTA_895	True	0.224527
FASTA_896	False	0.051953
FASTA_897	False	0.045181
FASTA_898	False	0.154230
FASTA_899	True	0.200549
FASTA_900	True	0.217347
FASTA_901	False	0.134859
FASTA_902	False	0.059318
FASTA_903	False	0.060725
FASTA_904	False	0.156279
FASTA_905	False	0.049358
FASTA_906	False	0.159728
FASTA_907	False	0.059061
FASTA_908	False	0.100431
FASTA_909	False	0.139469
FASTA_910	False	0.122119
FASTA_911	False	0.166644
FASTA_912	False	0.119903
FASTA_913	False	0.137781
FASTA_914	False	0.160007
FASTA_915	False	0.082931
FASTA_916	False	0.080343
FASTA_917	False	0.114565
FASTA_918	True	0.197265
FASTA_919	False	0.104019
FASTA_920	True	0.173335
FASTA_921	False	0.165723
FASTA_922	False	0.140816
FASTA_923	False	0.163050
FASTA_924	False	0.157737
FASTA_925	True	0.186621
FASTA_926	False	0.164268
FASTA_927	True	0.223025
FASTA_928	False	0.094554
FASTA_929	False	0.129710
FASTA_930	False	0.099815
FASTA_931	False	0.046604
FASTA_932	False	0.119903
FASTA_933	True	0.210255
FASTA_934	True	0.188361
FASTA_935	False	0.137842
FASTA_936	False	0.132052
FASTA_937	False	0.144232
FASTA_938	False	0.144261
FASTA_939	False	0.135240
FASTA_940	False	0.071281
FASTA_941	True	0.237641
FASTA_942	False	0.042061
FASTA_943	False	0.091209
FASTA_944	True	0.188554
FASTA_945	False	0.117802
FASTA_946	False	0.064446
FASTA_947	False	0.164317
FASTA_948	False	0.166633
FASTA_949	True	0.186438
FASTA_950	False	0.171725
FASTA_951	False	0.126233
FASTA_952	False	0.163000
FASTA_953	False	0.104396
FASTA_954	False	0.064264
FASTA_955	False	0.167969
FASTA_956	False	0.104399
FASTA_957	True	0.203195
FASTA_958	True	0.193803
FASTA_959	False	0.166412
FASTA_960	True	0.181365
FASTA_961	False	0.039630
FASTA_962	False	0.079870
FASTA_963	True	0.175378
FASTA_964	True	0.264973
FASTA_965	True	0.238502
FASTA_966	False	0.147597
FASTA_967	False	0.166922
FASTA_968	True	0.173521
FASTA_969	True	0.191863
FASTA_970	False	0.159893
FASTA_971	True	0.174744
FASTA_972	False	0.045845
FASTA_973	True	0.255933
FASTA_974	False	0.057076
FASTA_975	False	0.156938
FASTA_976	True	0.183576
FASTA_977	False	0.131020
FASTA_978	False	0.133597
FASTA_979	True	0.203803
FASTA_980	False	0.051329
FASTA_981	False	0.115263
FASTA_982	False	0.115528
FASTA_983	False	0.171216
FASTA_984	False	0.126713
FASTA_985	False	0.061589
FASTA_986	False	0.079014
FASTA_987	False	0.039969
FASTA_988	True	0.173444
FASTA_989	True	0.202147
FASTA_990	False	0.161813
FASTA_991	False	0.123185
FASTA_992	False	0.093277
